,outroot,APLS,APLS_gt_onto_prop,APLS_prop_onto_gt,topo_tp_tot,topo_fp_tot,topo_fn_tot,topo_precision,topo_recall,topo_f1,sp_metric,tot_meters_gt,tot_meters_p
0,AOI_2_Vegas_img0,0.7597834983047016,0.7930963890248025,0.729156319653255,1034.0,1157.0,3282.0,0.47193062528525787,0.23957367933271548,0.3178115875211311,0.44,4669.824999999999,4748.3693374547765
1,means,0.7597834983047016,0.7930963890248025,0.729156319653255,1034.0,1157.0,3282.0,0.47193062528525787,0.23957367933271548,0.3178115875211311,0.44,4669.824999999999,4748.3693374547765
